id,name,latitude,longitude,x_KMA,y_KMA,KMA_SrtFcst_updated_at,KMA_UltraSrtFcst_updated_at,OWM_AirPollution_updated_at,VC_MtFcst_updated_at
22,강남구,37.49664389000000000,127.06298520000000000,61,126,2021-08-13 17:01:20.992606+09,2021-08-13 17:01:20.881808+09,2021-08-13 16:16:44.873197+09,2021-08-13 16:16:43.809845+09
23,송파구,37.50561924000000000,127.11529500000000000,62,126,2021-08-13 17:01:21.306708+09,2021-08-13 17:01:21.167138+09,2021-08-13 16:16:47.625817+09,2021-08-13 16:16:46.558815+09
24,강동구,37.55045024000000000,127.14701180000000000,62,126,2021-08-13 17:01:21.611772+09,2021-08-13 17:01:21.487205+09,2021-08-13 16:16:17.45269+09,2021-08-13 16:16:16.392833+09
3,성동구,37.55102969000000000,127.04105850000000000,61,127,2021-08-13 17:01:21.917912+09,2021-08-13 16:36:23.95862+09,2021-08-13 16:16:20.315246+09,2021-08-13 16:16:19.215009+09
4,광진구,37.54670608000000000,127.08574350000000000,62,126,2021-08-13 17:01:22.27526+09,2021-08-13 17:01:22.103802+09,2021-08-13 16:16:23.02081+09,2021-08-13 16:16:21.989377+09
0,종로구,37.59491732000000000,126.97732130000000000,60,127,2021-08-13 17:01:22.942268+09,2021-08-13 17:01:22.447945+09,2021-08-13 16:16:25.710093+09,2021-08-13 16:16:24.688557+09
1,중구,37.56014356000000000,126.99596810000000000,60,127,2021-08-13 17:01:23.584591+09,2021-08-13 17:01:23.140752+09,2021-08-13 16:16:28.504263+09,2021-08-13 16:16:27.392676+09
2,용산구,37.53138497000000000,126.97990700000000000,60,126,2021-08-13 17:01:24.018364+09,2021-08-13 17:01:23.743242+09,2021-08-13 16:16:31.193809+09,2021-08-13 16:16:30.168172+09
5,동대문구,37.58195655000000000,127.05484810000000000,61,127,2021-08-13 17:01:24.314039+09,2021-08-13 16:36:15.178036+09,2021-08-13 16:16:33.954226+09,2021-08-13 16:16:32.897359+09
6,중랑구,37.59780259000000000,127.09288030000000000,62,128,2021-08-13 17:01:24.633573+09,2021-08-13 17:01:24.495237+09,2021-08-13 16:16:36.690815+09,2021-08-13 16:16:35.6178+09
7,성북구,37.60570190000000000,127.01757950000000000,61,127,2021-08-13 17:01:24.937854+09,2021-08-13 16:36:15.81353+09,2021-08-13 17:01:27.306272+09,2021-08-13 17:01:26.250488+09
8,강북구,37.64347391000000000,127.01118900000000000,61,128,2021-08-13 17:01:28.166572+09,2021-08-13 17:01:28.056778+09,2021-08-13 17:01:30.195068+09,2021-08-13 17:01:29.137276+09
13,마포구,37.55931349000000000,126.90827000000000000,59,127,2021-08-13 17:01:15.349095+09,2021-08-13 17:01:15.161899+09,2021-08-13 17:06:17.517991+09,2021-08-13 17:06:16.43286+09
14,양천구,37.52478941000000000,126.85547770000000000,58,126,2021-08-13 17:01:15.688741+09,2021-08-13 17:01:15.54711+09,2021-08-13 17:06:20.337007+09,2021-08-13 17:06:19.303966+09
9,도봉구,37.66910208000000000,127.03236880000000000,61,129,2021-08-13 17:01:16.042817+09,2021-08-13 17:01:15.910107+09,2021-08-13 17:06:23.037224+09,2021-08-13 17:06:21.99319+09
10,노원구,37.65251105000000000,127.07503470000000000,61,129,2021-08-13 17:01:16.362112+09,2021-08-13 17:01:16.253052+09,2021-08-13 17:06:25.796189+09,2021-08-13 17:06:24.702198+09
11,은평구,37.61921128000000000,126.92702290000000000,59,127,2021-08-13 17:01:16.699894+09,2021-08-13 17:01:16.569138+09,2021-08-13 17:06:28.537479+09,2021-08-13 17:06:27.50655+09
12,서대문구,37.57778531000000000,126.93906310000000000,59,127,2021-08-13 17:01:17.056035+09,2021-08-13 17:01:16.896913+09,2021-08-13 17:06:32.30498+09,2021-08-13 17:06:30.255156+09
15,강서구,37.56123543000000000,126.82280700000000000,58,126,2021-08-13 17:01:17.40853+09,2021-08-13 17:01:17.27461+09,2021-08-13 17:06:34.974265+09,2021-08-13 17:06:33.96355+09
16,구로구,37.49440543000000000,126.85630060000000000,58,125,2021-08-13 17:01:18.014609+09,2021-08-13 17:01:17.846434+09,2021-08-13 17:06:37.730192+09,2021-08-13 17:06:36.634191+09
17,금천구,37.46056756000000000,126.90082020000000000,59,124,2021-08-13 17:01:18.40746+09,2021-08-13 17:01:18.183205+09,2021-08-13 17:06:40.43921+09,2021-08-13 17:06:39.400591+09
18,영등포구,37.52230829000000000,126.91016950000000000,58,126,2021-08-13 17:01:18.789302+09,2021-08-13 17:01:18.60638+09,2021-08-13 17:06:43.182531+09,2021-08-13 17:06:42.105745+09
20,관악구,37.46737569000000000,126.94533720000000000,59,125,2021-08-13 17:01:19.157678+09,2021-08-13 17:01:18.977364+09,2021-08-13 17:06:45.85326+09,2021-08-13 17:06:44.843436+09
19,동작구,37.49887688000000000,126.95164150000000000,59,125,2021-08-13 17:01:19.691054+09,2021-08-13 17:01:19.355107+09,2021-08-13 17:06:48.565508+09,2021-08-13 17:06:47.513166+09
21,서초구,37.47329547000000000,127.03122030000000000,61,125,2021-08-13 17:01:20.707682+09,2021-08-13 17:01:20.581306+09,2021-08-13 17:06:51.365201+09,2021-08-13 17:06:50.263292+09
